Queries,Results
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country137> . } ,{}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country249> . } ,{http://db.uwaterloo.ca/~galuc/wsdbm/User797,http://db.uwaterloo.ca/~galuc/wsdbm/User212}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country50> . } ,{}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country28> . } ,{}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country1> . } ,{}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country84> . } ,{http://db.uwaterloo.ca/~galuc/wsdbm/User277,http://db.uwaterloo.ca/~galuc/wsdbm/User588,http://db.uwaterloo.ca/~galuc/wsdbm/User954,http://db.uwaterloo.ca/~galuc/wsdbm/User55,http://db.uwaterloo.ca/~galuc/wsdbm/User142,http://db.uwaterloo.ca/~galuc/wsdbm/User927,http://db.uwaterloo.ca/~galuc/wsdbm/User31,http://db.uwaterloo.ca/~galuc/wsdbm/User228,http://db.uwaterloo.ca/~galuc/wsdbm/User649,http://db.uwaterloo.ca/~galuc/wsdbm/User762,http://db.uwaterloo.ca/~galuc/wsdbm/User230,http://db.uwaterloo.ca/~galuc/wsdbm/User61,http://db.uwaterloo.ca/~galuc/wsdbm/User514,http://db.uwaterloo.ca/~galuc/wsdbm/User286,http://db.uwaterloo.ca/~galuc/wsdbm/User683,http://db.uwaterloo.ca/~galuc/wsdbm/User399,http://db.uwaterloo.ca/~galuc/wsdbm/User316,http://db.uwaterloo.ca/~galuc/wsdbm/User685,http://db.uwaterloo.ca/~galuc/wsdbm/User658,http://db.uwaterloo.ca/~galuc/wsdbm/User994,http://db.uwaterloo.ca/~galuc/wsdbm/User460,http://db.uwaterloo.ca/~galuc/wsdbm/User490,http://db.uwaterloo.ca/~galuc/wsdbm/User854,http://db.uwaterloo.ca/~galuc/wsdbm/User321,http://db.uwaterloo.ca/~galuc/wsdbm/User662,http://db.uwaterloo.ca/~galuc/wsdbm/User944,http://db.uwaterloo.ca/~galuc/wsdbm/User637,http://db.uwaterloo.ca/~galuc/wsdbm/User384,http://db.uwaterloo.ca/~galuc/wsdbm/User640,http://db.uwaterloo.ca/~galuc/wsdbm/User837,http://db.uwaterloo.ca/~galuc/wsdbm/User25,http://db.uwaterloo.ca/~galuc/wsdbm/User951,http://db.uwaterloo.ca/~galuc/wsdbm/User952}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country135> . } ,{http://db.uwaterloo.ca/~galuc/wsdbm/User545,http://db.uwaterloo.ca/~galuc/wsdbm/User623,http://db.uwaterloo.ca/~galuc/wsdbm/User320}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country22> . } ,{}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country10> . } ,{}
SELECT ?v0 WHERE {	?v0 <http://schema.org/eligibleRegion> <http://db.uwaterloo.ca/~galuc/wsdbm/Country232> . } ,{http://db.uwaterloo.ca/~galuc/wsdbm/Offer882,http://db.uwaterloo.ca/~galuc/wsdbm/Offer234,http://db.uwaterloo.ca/~galuc/wsdbm/Offer144,http://db.uwaterloo.ca/~galuc/wsdbm/Offer133,http://db.uwaterloo.ca/~galuc/wsdbm/Offer113,http://db.uwaterloo.ca/~galuc/wsdbm/Offer37,http://db.uwaterloo.ca/~galuc/wsdbm/Offer29,http://db.uwaterloo.ca/~galuc/wsdbm/Offer535,http://db.uwaterloo.ca/~galuc/wsdbm/Offer300,http://db.uwaterloo.ca/~galuc/wsdbm/Offer441,http://db.uwaterloo.ca/~galuc/wsdbm/Offer417,http://db.uwaterloo.ca/~galuc/wsdbm/Offer623,http://db.uwaterloo.ca/~galuc/wsdbm/Offer866}
